date,sales
2015-01,4200
2015-02,740
2015-03,17024
2015-05,4940
2015-06,12920
2015-07,6811
2015-08,11640
2015-09,6055
2015-10,10879
2015-11,15941
2015-12,18797
2016-01,4413
2016-02,3922
2016-03,7430
2016-04,2744
2016-05,9491
2016-06,6866
2016-07,9815
2016-08,9711
2016-09,11487
2016-10,10216
2016-11,12928
2016-12,21575
2017-01,6850
2017-02,6963
2017-03,11188
2017-04,11394
2017-05,8201
2017-06,11314
2017-07,11527
2017-08,6608
2017-09,17867
2017-10,7619
2017-11,17514
2017-12,7799
2018-01,11206
2018-02,4242
2018-03,6481
2018-04,21129
2018-05,12576
2018-06,13326
2018-07,7193
2018-08,9090
2018-09,20713
2018-10,18142
2018-11,28072
2018-12,28283
