date,sales,product
1964-01,2815,beer
1964-02,2672,beer
1964-03,2755,beer
1964-04,2721,beer
1964-05,2946,beer
1964-06,3036,beer
1964-07,2282,beer
1964-08,2212,beer
1964-09,2922,beer
1964-10,4301,beer
1964-11,5764,beer
1964-12,7312,beer
1965-01,2541,beer
1965-02,2475,beer
1965-03,3031,beer
1965-04,3266,beer
1965-05,3776,beer
1965-06,3230,beer
1965-07,3028,beer
1965-08,1759,beer
1965-09,3595,beer
1965-10,4474,beer
1965-11,6838,beer
1965-12,8357,beer
1966-01,3113,beer
1966-02,3006,beer
1966-03,4047,beer
1966-04,3523,beer
1966-05,3937,beer
1966-06,3986,beer
1966-07,3260,beer
1966-08,1573,beer
1966-09,3528,beer
1966-10,5211,beer
1966-11,7614,beer
1966-12,9254,beer
1967-01,5375,beer
1967-02,3088,beer
1967-03,3718,beer
1967-04,4514,beer
1967-05,4520,beer
1967-06,4539,beer
1967-07,3663,beer
1967-08,1643,beer
1967-09,4739,beer
1967-10,5428,beer
1967-11,8314,beer
1967-12,10651,beer
1968-01,3633,beer
1968-02,4292,beer
1968-03,4154,beer
1968-04,4121,beer
1968-05,4647,beer
1968-06,4753,beer
1968-07,3965,beer
1968-08,1723,beer
1968-09,5048,beer
1968-10,6922,beer
1968-11,9858,beer
1968-12,11331,beer
1969-01,4016,beer
1969-02,3957,beer
1969-03,4510,beer
1969-04,4276,beer
1969-05,4968,beer
1969-06,4677,beer
1969-07,3523,beer
1969-08,1821,beer
1969-09,5222,beer
1969-10,6872,beer
1969-11,10803,beer
1969-12,13916,beer
1970-01,2639,beer
1970-02,2899,beer
1970-03,3370,beer
1970-04,3740,beer
1970-05,2927,beer
1970-06,3986,beer
1970-07,4217,beer
1970-08,1738,beer
1970-09,5221,beer
1970-10,6424,beer
1970-11,9842,beer
1970-12,13076,beer
1971-01,3934,beer
1971-02,3162,beer
1971-03,4286,beer
1971-04,4676,beer
1971-05,5010,beer
1971-06,4874,beer
1971-07,4633,beer
1971-08,1659,beer
1971-09,5951,beer
1971-10,6981,beer
1971-11,9851,beer
1971-12,12670,beer
1972-01,4348,beer
1972-02,3564,beer
1972-03,4577,beer
1972-04,4788,beer
1972-05,4618,beer
1972-06,5312,beer
1972-07,4298,beer
1972-08,1413,beer
1972-09,5877,beer
