date,sales
2020-01-01,54.57
2020-01-10,8.92
2020-01-20,36.98
2020-01-30,18.72
2020-02-01,42.38
2020-02-10,21.08
2020-02-20,8.59
2020-03-01,39.76
2020-03-10,46.75
2020-03-20,13.71
2020-04-01,13.12
2020-04-10,28.82
2020-04-20,77.66
2020-05-01,33.56
2020-05-10,7.25
2020-05-20,28.68
2020-06-01,14.3
2020-06-10,14.25
2020-06-20,9.45
2020-07-01,20.56
2020-07-10,28.59
2020-07-20,20.8
2020-07-30,23.73
2020-08-01,27.63
2020-08-10,57.48
2020-08-20,14.83
2020-08-30,14.98
2020-09-01,13.69
2020-09-10,41.9
2020-09-20,26.04
2020-10-01,12.19
2020-10-10,5.81
2020-10-20,41.21
2020-11-01,31.05
2020-11-10,24.44
2020-11-20,13.72
2020-12-01,5.63
2020-12-10,9.14
2020-12-20,25.67
2020-12-30,14.22
2021-01-01,92.53
2021-01-10,192.62
2021-01-20,111.4
2021-01-30,14.0
2021-02-01,113.1
2021-02-10,204.73
2021-02-20,94.4
2021-03-01,117.91
2021-03-10,192.77
2021-03-20,72.84
2021-04-01,120.41
2021-04-10,184.64
2021-04-20,106.07
2021-05-01,141.62
2021-05-10,212.36
2021-05-20,80.77
2021-05-30,7.46
2021-06-01,100.17
2021-06-10,203.83
2021-06-20,106.4
2021-06-30,6.35
2021-07-01,148.69
2021-07-10,204.04
2021-07-20,88.4
2021-07-30,5.12
2021-08-01,123.15
2021-08-10,221.75
2021-08-20,124.26
2021-08-30,11.78
2021-09-01,114.05
2021-09-10,214.9
2021-09-20,84.58
2021-09-30,9.82
2021-10-01,88.82
