date,sales
2015-01,2325
2015-02,1460
2015-03,10446
2015-04,9100
2015-05,6872
2015-06,18080
2015-07,8953
2015-08,6518
2015-09,16209
2015-10,12704
2015-11,11556
2015-12,7053
2016-02,1944
2016-03,7714
2016-04,9156
2016-05,3589
2016-06,6838
2016-07,5231
2016-08,12259
2016-09,7067
2016-10,17800
2016-11,21387
2016-12,19139
2017-01,6529
2017-02,2255
2017-03,15049
2017-04,7751
2017-05,21041
2017-06,12388
2017-07,11807
2017-08,14121
2017-09,15062
2017-10,8811
2017-11,8875
2017-12,25049
2018-01,5754
2018-02,5986
2018-03,17554
2018-04,12136
2018-05,12906
2018-06,10104
2018-07,6950
