date,sales
2015-01-20,2294
2015-01-30,1906
2015-02-07,740
2015-03-01,1620
2015-03-01,851
2015-03-03,1393
2015-03-14,1233
2015-03-18,1970
2015-03-19,824
2015-03-21,1366
2015-03-22,668
2015-03-25,2264
2015-03-28,959
2015-03-30,1415
2015-03-30,1738
2015-03-31,723
2015-05-10,1259
2015-05-11,898
2015-05-13,899
2015-05-21,575
2015-05-26,1309
2015-06-02,1271
2015-06-06,959
2015-06-06,2327
2015-06-09,826
2015-06-23,2050
2015-06-24,2032
2015-06-27,1624
2015-06-28,1831
2015-07-08,1998
2015-07-12,571
2015-07-15,1911
2015-07-22,2331
2015-08-02,1227
2015-08-09,2199
2015-08-09,1694
2015-08-12,1665
2015-08-12,1679
2015-08-17,2022
2015-08-25,1154
2015-09-08,974
2015-09-14,1455
2015-09-14,1747
2015-09-29,1879
2015-10-02,702
2015-10-06,694
2015-10-10,2151
2015-10-10,566
2015-10-16,1030
2015-10-18,2247
2015-10-19,1350
2015-10-20,2139
2015-11-02,1845
2015-11-04,1771
2015-11-04,1273
2015-11-05,1779
2015-11-10,1024
2015-11-17,1321
2015-11-19,721
2015-11-20,700
2015-11-22,708
2015-11-22,1406
2015-11-28,1254
2015-11-29,2139
2015-12-01,1541
2015-12-02,1006
2015-12-02,1297
2015-12-05,1160
2015-12-09,1328
2015-12-09,2195
2015-12-12,771
2015-12-14,2378
2015-12-15,764
2015-12-19,1197
2015-12-27,1051
2015-12-28,1583
2015-12-29,1093
2015-12-30,1433
2016-01-02,1973
2016-01-05,508
2016-01-23,1932
2016-02-06,2332
2016-02-09,547
2016-02-15,1043
2016-03-12,1604
2016-03-13,1261
2016-03-22,1188
2016-03-23,1115
2016-03-27,2262
2016-04-13,1150
2016-04-17,1594
2016-05-01,1983
2016-05-03,1265
2016-05-03,744
2016-05-07,852
2016-05-10,966
2016-05-12,517
2016-05-25,976
2016-05-31,2188
2016-06-04,888
2016-06-13,1121
2016-06-13,2299
2016-06-16,1229
2016-06-25,1329
2016-07-02,2427
2016-07-11,2354
2016-07-16,1483
2016-07-25,2411
2016-07-26,1140
2016-08-02,1122
2016-08-08,1894
2016-08-13,1995
2016-08-24,547
2016-08-28,1608
2016-08-28,1105
2016-08-31,1440
2016-09-06,1241
2016-09-14,2410
2016-09-17,2349
2016-09-19,1712
2016-09-21,622
2016-09-21,1863
2016-09-28,1290
2016-10-01,871
2016-10-01,1915
2016-10-02,1361
2016-10-09,593
2016-10-11,896
2016-10-12,2149
2016-10-15,613
2016-10-23,1818
2016-11-08,1784
2016-11-09,778
2016-11-15,1478
2016-11-19,1520
2016-11-21,874
2016-11-23,2422
2016-11-27,1300
2016-11-28,1256
2016-11-29,1516
2016-12-01,1512
2016-12-03,734
2016-12-10,2451
2016-12-11,1517
2016-12-12,2303
2016-12-13,1370
